GeoFIPS;GeoName;Description;2019;2020
" ""00000""";United States;Real GDP (millions of chained 2012 dollars)  ;19091662;18426076
" ""00000""";United States;Chain-type quantity indexes for real GDP;117.872;113.762
" ""00000""";United States;Current-dollar GDP (millions of current dollars);21433226;20936558
" ""00000""";United States;Compensation (millions of dollars);11444495;(NA)
" ""00000""";United States;Gross operating surplus (millions of dollars);8571191;(NA)
" ""00000""";United States;Taxes on production and imports (TOPI) less subsides (millions of dollars);1417539;(NA)
" ""00000""";United States; Taxes on production and imports (TOPI) (millions of dollars);1491428;(NA)
" ""00000""";United States; Subsidies (millions of dollars);-73889;(NA)
" ""01000""";Alabama;Real GDP (millions of chained 2012 dollars)  ;200829.4;195474.7
" ""01000""";Alabama;Chain-type quantity indexes for real GDP;107.652;104.782
" ""01000""";Alabama;Current-dollar GDP (millions of current dollars);228142.6;224870.6
" ""01000""";Alabama;Compensation (millions of dollars);126892.8;(NA)
" ""01000""";Alabama;Gross operating surplus (millions of dollars);88069.6;(NA)
" ""01000""";Alabama;Taxes on production and imports (TOPI) less subsides (millions of dollars);13180.2;(NA)
" ""01000""";Alabama; Taxes on production and imports (TOPI) (millions of dollars);13774;(NA)
" ""01000""";Alabama; Subsidies (millions of dollars);-593.7;(NA)
" ""02000""";Alaska;Real GDP (millions of chained 2012 dollars)  ;53255.2;50645.5
" ""02000""";Alaska;Chain-type quantity indexes for real GDP;92.269;87.747
" ""02000""";Alaska;Current-dollar GDP (millions of current dollars);54385.6;50246.7
" ""02000""";Alaska;Compensation (millions of dollars);29231.9;(NA)
" ""02000""";Alaska;Gross operating surplus (millions of dollars);20791.5;(NA)
" ""02000""";Alaska;Taxes on production and imports (TOPI) less subsides (millions of dollars);4362.2;(NA)
" ""02000""";Alaska; Taxes on production and imports (TOPI) (millions of dollars);4476.1;(NA)
" ""02000""";Alaska; Subsidies (millions of dollars);-113.9;(NA)
" ""04000""";Arizona;Real GDP (millions of chained 2012 dollars)  ;323597.6;320658.3
" ""04000""";Arizona;Chain-type quantity indexes for real GDP;120.715;119.618
" ""04000""";Arizona;Current-dollar GDP (millions of current dollars);370119.1;372461
" ""04000""";Arizona;Compensation (millions of dollars);203864;(NA)
" ""04000""";Arizona;Gross operating surplus (millions of dollars);142217.3;(NA)
" ""04000""";Arizona;Taxes on production and imports (TOPI) less subsides (millions of dollars);24037.7;(NA)
" ""04000""";Arizona; Taxes on production and imports (TOPI) (millions of dollars);24847.6;(NA)
" ""04000""";Arizona; Subsidies (millions of dollars);-809.8;(NA)
" ""05000""";Arkansas;Real GDP (millions of chained 2012 dollars)  ;117447.1;114370.3
" ""05000""";Arkansas;Chain-type quantity indexes for real GDP;109.031;106.175
" ""05000""";Arkansas;Current-dollar GDP (millions of current dollars);130954.1;129073.9
" ""05000""";Arkansas;Compensation (millions of dollars);73354.2;(NA)
" ""05000""";Arkansas;Gross operating surplus (millions of dollars);48087.1;(NA)
" ""05000""";Arkansas;Taxes on production and imports (TOPI) less subsides (millions of dollars);9512.8;(NA)
